ID,Username,Pais,Pontos,Vitorias,Derrotas
1767,jonathanfletcher,Afghanistan,2834,72,29
7288,kevin90,Eritrea,2830,93,11
7479,floressteven,Ethiopia,2829,24,50
5797,mercedesholland,Philippines,2829,41,32
4930,kiara45,Benin,2825,46,34
4369,bzimmerman,Christmas Island,2819,59,32
4700,owagner,Uzbekistan,2819,26,45
3050,jennifercruz,Iran,2818,78,33
580,robert11,Switzerland,2818,95,40
8926,jford,Zimbabwe,2817,20,23
3870,powerslawrence,Dominican Republic,2817,49,19
1656,richard04,France,2816,34,5
7592,davidalvarez,Mayotte,2813,14,44
1893,jessicapayne,Ukraine,2813,22,27
4589,jeffrey10,Saudi Arabia,2807,92,20
6422,brettbennett,Netherlands Antilles,2806,45,48
7451,michael90,Netherlands Antilles,2803,66,11
889,smithsarah,Macedonia,2803,96,32
1422,davisnicholas,Mexico,2799,72,28
243,stephanie79,Suriname,2781,52,25
2529,cameronhill,Norfolk Island,2778,33,49
2838,ihorton,Senegal,2775,53,14
6485,gary15,Kiribati,2774,50,12
9977,fortiz,Israel,2772,26,42
3814,donnacampbell,Panama,2767,38,5
9862,kristenli,Sri Lanka,2764,17,26
3227,amymorris,Belgium,2761,34,45
4778,hodgemark,Puerto Rico,2760,15,47
5844,nolanjason,Egypt,2755,88,44
1961,flynnjeffrey,Antigua and Barbuda,2745,67,50
6852,mmckee,Heard Island and McDonald Islands,2742,29,19
3533,lisapeck,Saint Helena,2742,76,29
46,rsellers,Tonga,2736,37,50
6723,fconner,Pakistan,2736,98,11
9185,david36,Northern Mariana Islands,2729,68,8
5585,fergusonjessica,Zambia,2729,26,23
7350,taylordavid,Saint Lucia,2726,32,39
5263,juan35,Costa Rica,2724,39,46
5958,amydavenport,Mozambique,2719,62,49
4129,richardsonemily,Israel,2718,72,24
5328,timothybooth,Grenada,2717,55,8
9446,anthony44,Uruguay,2717,81,23
9742,djones,Tonga,2715,28,26
1288,brenda51,Peru,2714,73,15
2819,ariel18,Uruguay,2713,90,27
8052,ronaldstephens,Oman,2707,16,39
7296,ingramjill,Grenada,2707,39,23
4352,suzannewilson,Saudi Arabia,2705,26,31
8684,novaksara,Thailand,2704,89,29
6823,jodi37,Heard Island and McDonald Islands,2698,99,28
6145,fernandodonovan,Czech Republic,2697,78,37
9920,scoffey,San Marino,2689,95,50
3321,ramirezderrick,Cook Islands,2688,64,40
2625,kmaldonado,Norway,2688,19,14
8019,nathangutierrez,Monaco,2686,72,42
2581,susan56,Myanmar,2683,53,36
8757,fhernandez,Slovakia (Slovak Republic),2683,47,10
6378,fosternatasha,Portugal,2673,56,16
276,ifrazier,Greenland,2673,96,33
294,ibarnes,Montserrat,2672,49,38
5900,ojones,Poland,2669,79,9
9681,alexanderrobert,Isle of Man,2667,73,35
2628,rebekahhill,Kiribati,2657,55,26
1927,gregorylynch,Hong Kong,2657,93,5
4594,gbender,Mauritania,2655,77,10
9789,johnnewman,Egypt,2649,77,20
8025,bentonsteven,Russian Federation,2640,49,26
3237,stacey84,Tanzania,2636,52,48
3351,jennifer46,Ukraine,2635,80,32
6696,hsmith,Saint Helena,2635,69,12
2221,stephaniethomas,Netherlands,2635,98,7
361,johnsongeorge,French Guiana,2634,46,21
1046,williamsconnie,Taiwan,2633,37,18
6688,bhopkins,Albania,2629,18,23
2856,madkins,Holy See (Vatican City State),2625,85,27
6732,andrearivera,Japan,2624,62,28
2694,wendyburton,Syrian Arab Republic,2622,98,39
6747,troy74,Martinique,2621,15,19
1641,matthew94,Micronesia,2620,18,45
2992,gabriel90,Monaco,2620,43,44
1952,ewilson,Iran,2616,11,7
7366,lindajarvis,Zimbabwe,2612,61,43
9623,dalepruitt,Liberia,2612,73,34
3206,cochrantammy,Ghana,2611,36,15
615,williamsdarrell,Kenya,2605,97,28
477,mphillips,Greenland,2602,76,49
6869,patrick74,Zimbabwe,2600,89,34
1181,gallowayjoseph,Slovenia,2599,78,5
7567,moralescody,Burundi,2599,23,13
2895,nadams,United States Minor Outlying Islands,2598,30,36
1432,bwagner,Bolivia,2593,62,16
2049,xgarcia,Burundi,2591,61,50
688,collinssamuel,Zimbabwe,2584,33,25
1291,cordovarichard,Malawi,2581,35,36
1458,jwoodward,Rwanda,2581,88,22
7973,ocarter,France,2575,26,42
6021,djames,Malta,2573,46,31
2044,perryrandy,Holy See (Vatican City State),2570,38,16
9215,mikayla56,Estonia,2568,90,17
9000,griffinemily,Tunisia,2567,60,23
8802,gwilcox,Greece,2566,61,47
8484,cwood,Aruba,2563,84,34
788,daniel60,Vanuatu,2560,54,31
6541,terrykevin,Poland,2543,78,7
525,ithompson,Solomon Islands,2542,92,11
4081,lori82,Bahrain,2538,18,5
1674,lindsey69,Denmark,2530,88,19
8428,brittney88,Marshall Islands,2529,79,26
6724,kimberly63,Ethiopia,2529,69,5
201,christian08,Montenegro,2528,98,15
9991,sarahibarra,Turkmenistan,2523,25,38
2703,jeffreykeller,Iran,2520,34,50
2994,johnwells,Brazil,2517,41,43
4111,lisa81,Oman,2515,47,50
9306,rguerrero,Burundi,2513,85,13
1744,vargasmaria,Ecuador,2511,69,22
1539,troymorris,Finland,2510,12,41
1694,campbellkristen,Luxembourg,2509,47,33
101,robert55,Eritrea,2508,44,30
145,brooksdanielle,Sierra Leone,2507,33,20
5016,cameronwilliams,Yemen,2501,47,8
535,janet45,Swaziland,2500,76,16
2491,lopezmichael,Saudi Arabia,2489,26,8
4446,starkdaniel,Switzerland,2487,67,45
329,mariahdavis,United States Minor Outlying Islands,2484,57,23
2877,yarnold,Comoros,2483,31,32
886,sanchezbradley,Kazakhstan,2480,55,39
2509,mariacohen,Qatar,2478,23,41
45,arodriguez,Kazakhstan,2477,32,40
4503,russellcarpenter,Palau,2475,93,21
3666,srodriguez,Dominica,2474,20,31
3136,znelson,Bouvet Island (Bouvetoya),2467,85,40
6081,stephen19,Bhutan,2466,14,14
8732,barbara10,Panama,2466,11,38
5139,meadowsmary,Paraguay,2463,11,22
8544,tjimenez,Luxembourg,2462,69,22
6186,eewing,Mozambique,2460,94,34
3188,dennismccann,Kenya,2457,89,42
6746,glennmartin,British Virgin Islands,2456,30,32
4483,nancy04,Mongolia,2453,42,49
5441,ilewis,Saint Kitts and Nevis,2453,53,28
157,fwalters,Bermuda,2452,98,30
1713,hayesjeffrey,New Zealand,2452,89,37
5943,codygarcia,South Africa,2450,37,10
3823,joshuapadilla,South Africa,2448,76,20
7922,smithdevon,Oman,2446,46,17
8081,teresastokes,Brunei Darussalam,2444,34,32
6127,gibsonolivia,Montserrat,2439,86,31
9717,padillaaaron,Lesotho,2436,70,6
683,gibbsmichael,Ukraine,2435,24,15
797,laurietaylor,El Salvador,2434,68,39
1176,lmoon,Mozambique,2433,54,41
813,odawson,Cape Verde,2431,23,30
6273,lancesmith,Ireland,2430,17,35
2002,roberthampton,Uruguay,2428,95,13
7531,jennifermiles,Italy,2427,28,43
7207,walkercharlene,Western Sahara,2427,44,35
5079,yjones,Benin,2425,54,28
622,rsims,Kazakhstan,2421,90,28
1818,brentgray,Croatia,2416,28,15
6555,shannonford,Timor-Leste,2413,12,35
2767,ywhite,Slovakia (Slovak Republic),2412,96,33
377,jessicabell,Burundi,2411,80,48
5810,davidharris,Burundi,2407,30,21
2736,timothy64,Korea,2405,68,20
1352,danieldelacruz,Bulgaria,2405,83,33
3116,ymcneil,Swaziland,2404,34,33
8520,priceelizabeth,South Georgia and the South Sandwich Islands,2397,42,44
8700,hansenemily,Gambia,2396,10,5
286,stephanie15,Uzbekistan,2382,38,31
512,johnsonjoshua,Czech Republic,2382,33,5
529,elizabeth62,Taiwan,2382,51,11
8468,bethwilliams,Guatemala,2379,100,20
8174,edwardrandolph,Anguilla,2377,54,35
5968,michelle52,Kazakhstan,2375,80,10
4228,hwest,Luxembourg,2375,78,32
9789,briannasmith,Russian Federation,2375,55,46
9075,cwilson,Yemen,2373,47,16
774,jonathangarcia,Montenegro,2372,100,27
2341,jessica65,Aruba,2371,27,25
9565,anthonycochran,Fiji,2370,75,44
8395,yobrien,Nicaragua,2363,30,26
1636,jeffery39,El Salvador,2363,87,20
1060,staceylam,Palau,2363,17,31
2100,rschroeder,Nepal,2363,12,46
2339,moorekaren,Australia,2363,51,22
2377,michelle96,Chad,2360,55,10
8767,alyssa42,Equatorial Guinea,2354,87,30
2293,cjackson,Guernsey,2351,95,6
858,smoore,Cuba,2341,71,41
2058,vdouglas,Lesotho,2338,24,42
6518,charles06,Andorra,2337,95,47
777,allencarlos,Nauru,2328,42,34
6953,cindy14,Macedonia,2328,38,8
7177,perrymark,Lao People's Democratic Republic,2326,35,45
5104,brittany58,Barbados,2324,92,45
9952,elizabeth65,Tunisia,2323,68,33
9905,jose56,Reunion,2322,74,7
34,grant89,Solomon Islands,2321,86,43
1056,reeddaniel,Philippines,2321,46,24
1504,enelson,Estonia,2315,75,26
8143,cynthia07,Falkland Islands (Malvinas),2312,79,23
1740,xglass,Uruguay,2310,70,33
6267,michellejames,Korea,2302,54,25
8209,freemancrystal,Christmas Island,2295,55,50
7507,chase19,Nauru,2295,99,37
8962,amoore,Zimbabwe,2284,25,47
9590,travisunderwood,Samoa,2283,29,5
4698,benjaminzimmerman,Kazakhstan,2281,89,13
5226,clarence54,Belize,2278,38,27
6581,rileyamy,San Marino,2278,10,30
3713,chad34,Paraguay,2276,97,50
5385,opatel,Egypt,2273,63,24
7435,steven00,Heard Island and McDonald Islands,2272,17,14
4769,zrichardson,Malaysia,2266,24,9
1429,rioswhitney,Eritrea,2257,84,37
6068,ufloyd,Qatar,2253,40,46
824,sonia96,Egypt,2249,13,42
4287,tsanders,Congo,2248,40,16
6214,wmurphy,Turkmenistan,2241,40,23
644,ilee,Cape Verde,2240,55,50
3932,unovak,Antarctica (the territory South of 60 deg S),2237,47,7
3944,patrick21,Macao,2234,78,28
1221,phillipskristin,Macedonia,2230,42,44
2588,derrickgonzalez,Ireland,2227,75,14
1333,edwardslarry,Equatorial Guinea,2223,12,11
5716,zhall,Niue,2223,84,39
9147,iwhite,Norway,2223,73,25
8045,anne21,Belize,2219,38,9
3767,joseph69,Oman,2216,29,28
7412,kristyjohnson,Mexico,2215,41,21
8578,scott43,Taiwan,2213,10,25
4192,michaelhardin,Iceland,2212,16,23
369,vrasmussen,South Africa,2210,63,31
2888,wmartinez,Sierra Leone,2208,36,16
9799,hinesgregory,Malaysia,2206,79,15
1455,sandrafrench,Nigeria,2205,57,39
5528,markmiller,Guatemala,2197,61,22
551,steven73,Madagascar,2194,91,42
1367,pvalentine,Syrian Arab Republic,2193,79,30
4648,jonathanrivera,Belgium,2193,92,22
471,oscar85,Gambia,2192,28,44
2579,kimberly39,Spain,2192,45,44
2068,hayesrachel,Kenya,2188,66,7
7556,kingcynthia,Mexico,2188,15,45
2541,ugibson,Trinidad and Tobago,2186,95,29
172,robert77,Ecuador,2186,40,40
1183,amy29,Timor-Leste,2182,95,18
4270,harry08,Brunei Darussalam,2182,74,25
1008,brian63,Taiwan,2177,86,44
7971,thompsonkendra,Lithuania,2176,65,21
6180,nelsonebony,Libyan Arab Jamahiriya,2175,29,47
5426,ismall,Thailand,2173,86,39
6196,amanda51,Macedonia,2173,40,9
3158,vincentwhitaker,Sri Lanka,2172,37,24
2987,tblankenship,Pakistan,2168,84,6
9748,fburns,Monaco,2167,94,20
3250,cory58,United Arab Emirates,2166,75,32
4849,kevinclayton,Belgium,2155,25,39
8364,christopher60,Estonia,2155,72,26
